frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23,180.0,170.07903910682833,177.12656150240647,169.69515353123398,177.51044707800085,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,171.86989764584402,176.82016988013575,175.04972776570824,174.88958243896877,180.0,174.8055710922652,160.01689347810003,180.0
24,162.26374556006147,165.137184057655,177.12656150240647,174.88958243896877,172.31601817026603,180.0,180.0,180.0,180.0,180.0,180.0,175.05814495082666,172.17628926811474,180.0,180.0,180.0,164.74488129694222,177.51044707800085,162.50644640009918,180.0
25,169.6111421845304,169.6111421845304,174.88958243896877,174.88958243896877,172.31601817026603,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,171.86989764584402,176.82016988013575,180.0,167.23443421894137,177.29512401426436,177.29512401426436,154.31185656435267,175.2363583092738
26,166.67546873810923,169.6111421845304,174.88958243896877,174.88958243896877,172.31601817026603,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,176.82016988013575,171.86989764584402,174.88958243896877,180.0,177.29512401426436,154.31185656435267,175.2363583092738
27,160.81120284400723,175.0208941560017,172.18470645323313,180.0,167.20560060923484,180.0,180.0,180.0,180.0,180.0,180.0,172.18470645323313,171.86989764584402,176.82016988013575,180.0,167.23443421894137,177.29512401426436,174.8055710922652,156.80140948635182,176.7845160082518
28,177.51044707800085,167.20560060923484,180.0,174.88958243896877,172.31601817026603,180.0,177.51044707800085,177.51044707800085,180.0,177.51044707800085,174.8055710922652,174.88958243896877,175.04972776570824,176.82016988013575,180.0,166.75948008481282,180.0,172.31601817026603,164.05460409907712,175.2363583092738
29,174.8055710922652,169.69515353123398,180.0,174.88958243896877,172.31601817026603,177.51044707800085,177.51044707800085,180.0,180.0,177.51044707800085,174.8055710922652,174.88958243896877,175.04972776570824,176.82016988013575,180.0,166.75948008481282,177.29512401426436,177.51044707800085,164.74488129694222,172.0565281894096
30,177.29512401426436,159.07549825507886,166.75948008481282,180.0,174.8055710922652,174.8055710922652,180.0,174.8055710922652,180.0,180.0,174.8055710922652,171.8019311539837,180.0,180.0,180.0,180.0,171.8019311539837,174.8055710922652,161.565051177078,176.63353933657018
31,174.8055710922652,164.74488129694222,169.93931020467704,180.0,174.8055710922652,174.8055710922652,180.0,174.8055710922652,180.0,180.0,174.8055710922652,171.8019311539837,180.0,180.0,180.0,180.0,171.8019311539837,174.8055710922652,161.565051177078,176.63353933657018
32,161.4130733385141,164.50072462349917,175.04972776570824,167.23443421894137,177.51044707800085,174.8055710922652,180.0,174.8055710922652,180.0,180.0,177.51044707800085,167.23443421894137,180.0,180.0,175.04972776570824,180.0,174.88958243896877,174.8055710922652,161.565051177078,175.2363583092738
33,172.31601817026603,167.23443421894137,172.17628926811474,177.7630209365623,174.8055710922652,172.56859202882748,175.05814495082666,177.51044707800085,180.0,180.0,172.56859202882748,172.17628926811474,180.0,177.00965502483461,180.0,178.04007274087365,169.69515353123398,174.8055710922652,165.21132238583482,178.45184230102205
34,172.31601817026603,169.93931020467704,172.17628926811474,177.7630209365623,174.8055710922652,172.56859202882748,175.05814495082666,177.51044707800085,180.0,180.0,172.56859202882748,172.17628926811474,180.0,177.00965502483461,177.00965502483461,172.17628926811474,172.56859202882748,174.8055710922652,165.21132238583482,178.45184230102205
35,160.81120284400723,162.25532837494308,177.00965502483461,170.22477919410676,180.0,175.0208941560017,175.05814495082666,172.56859202882748,180.0,180.0,174.8055710922652,169.93931020467704,180.0,177.00965502483461,180.0,180.0,167.7352262721076,177.51044707800085,162.50644640009918,180.0
36,177.51044707800085,164.74488129694222,175.04972776570824,174.88958243896877,172.31601817026603,177.51044707800085,177.51044707800085,177.51044707800085,177.51044707800085,177.51044707800085,172.56859202882748,172.17628926811474,180.0,180.0,175.04972776570824,180.0,169.69515353123398,177.51044707800085,162.50644640009918,180.0
37,157.28558764683277,162.25532837494308,175.04972776570824,180.0,167.20560060923484,180.0,180.0,180.0,177.51044707800085,180.0,177.51044707800085,167.23443421894137,180.0,180.0,177.00965502483461,180.0,167.7352262721076,180.0,161.565051177078,178.45184230102205
38,164.11794932424974,167.20560060923484,175.04972776570824,175.04972776570824,167.20560060923484,180.0,180.0,177.51044707800085,180.0,177.51044707800085,177.29512401426436,169.93931020467704,180.0,180.0,175.04972776570824,176.91234871501493,166.6075022462489,180.0,161.565051177078,180.0
39,177.51044707800085,161.565051177078,171.86989764584402,174.88958243896877,174.8055710922652,180.0,180.0,177.51044707800085,180.0,177.51044707800085,169.69515353123398,175.04972776570824,178.13737905069334,180.0,180.0,180.0,166.6075022462489,180.0,161.565051177078,180.0
40,177.29512401426436,166.75948008481282,171.86989764584402,174.88958243896877,174.8055710922652,180.0,177.51044707800085,177.51044707800085,177.51044707800085,180.0,177.29512401426436,174.88958243896877,180.0,171.86989764584402,176.82016988013575,180.0,164.74488129694222,180.0,161.565051177078,180.0
41,171.86989764584402,164.74488129694222,180.0,169.93931020467704,174.8055710922652,180.0,180.0,177.51044707800085,177.51044707800085,177.51044707800085,180.0,172.18470645323313,180.0,171.86989764584402,180.0,176.82016988013575,167.23443421894137,175.0208941560017,164.05460409907712,180.0
42,165.79030868800555,164.05460409907712,171.86989764584402,177.12656150240647,177.7630209365623,172.31601817026603,180.0,180.0,180.0,177.51044707800085,177.51044707800085,172.18470645323313,178.04007274087365,173.8298249049704,176.82016988013575,180.0,167.23443421894137,172.31601817026603,166.75948008481282,180.0
43,177.29512401426436,166.75948008481282,171.86989764584402,180.0,172.18470645323313,175.0208941560017,180.0,180.0,177.51044707800085,177.51044707800085,177.29512401426436,174.88958243896877,180.0,171.86989764584402,180.0,174.9575489308291,169.09705516824806,172.31601817026603,166.75948008481282,180.0
44,164.50072462349917,171.86989764584402,171.86989764584402,174.88958243896877,180.0,172.31601817026603,180.0,177.51044707800085,177.51044707800085,180.0,177.29512401426436,174.88958243896877,180.0,171.86989764584402,180.0,174.9575489308291,166.6075022462489,180.0,161.565051177078,180.0
45,167.20560060923484,171.86989764584402,174.9575489308291,171.8019311539837,180.0,172.31601817026603,180.0,177.51044707800085,177.51044707800085,180.0,177.29512401426436,174.88958243896877,180.0,171.86989764584402,180.0,174.9575489308291,166.6075022462489,180.0,161.565051177078,180.0
46,169.69515353123398,164.74488129694222,176.82016988013575,168.9964591482505,175.05814495082666,177.51044707800085,177.51044707800085,180.0,180.0,180.0,180.0,172.18470645323313,171.86989764584402,180.0,171.86989764584402,177.12656150240647,177.7630209365623,169.6111421845304,166.75948008481282,180.0
47,164.74488129694222,167.7352262721076,177.00965502483461,175.04972776570824,169.69515353123398,180.0,177.51044707800085,177.51044707800085,180.0,180.0,177.51044707800085,172.18470645323313,178.04007274087365,173.8298249049704,176.82016988013575,180.0,167.23443421894137,175.0208941560017,162.50644640009918,180.0
48,177.29512401426436,166.75948008481282,176.82016988013575,175.04972776570824,169.69515353123398,177.51044707800085,175.0208941560017,180.0,180.0,180.0,177.29512401426436,174.88958243896877,175.04972776570824,180.0,180.0,175.04972776570824,169.69515353123398,177.27368900609375,164.29136217098426,180.0
49,164.74488129694222,158.19859051364818,173.453709216706,172.17628926811474,170.07903910682833,180.0,180.0,177.51044707800085,177.51044707800085,177.51044707800085,177.51044707800085,177.29512401426436,169.93931020467704,180.0,176.82016988013575,174.9575489308291,169.09705516824806,175.0208941560017,164.05460409907712,180.0
50,169.69515353123398,171.86989764584402,176.82016988013575,169.93931020467704,174.8055710922652,180.0,180.0,180.0,180.0,177.51044707800085,177.29512401426436,174.88958243896877,180.0,171.86989764584402,180.0,174.9575489308291,166.6075022462489,177.51044707800085,159.07549825507886,180.0
51,164.11794932424974,174.9575489308291,176.82016988013575,175.04972776570824,172.18470645323313,175.0208941560017,180.0,177.51044707800085,177.51044707800085,177.51044707800085,172.56859202882748,177.12656150240647,180.0,171.86989764584402,176.82016988013575,180.0,164.74488129694222,174.8055710922652,166.75948008481282,180.0
52,169.93931020467704,166.75948008481282,176.82016988013575,180.0,167.23443421894137,175.0208941560017,180.0,180.0,180.0,180.0,180.0,175.05814495082666,172.17628926811474,180.0,180.0,180.0,164.74488129694222,174.8055710922652,165.21132238583482,178.45184230102205
53,180.0,167.44830144927252,180.0,167.44830144927252,175.05814495082666,177.51044707800085,177.51044707800085,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,167.20560060923484,170.32173994686607,175.2720121811578
54,174.88958243896877,170.32173994686607,175.2720121811578,175.04972776570824,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,167.44830144927252,178.45184230102205
55,180.0,165.21132238583482,178.45184230102205,171.86989764584402,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,168.9964591482505,180.0
56,175.05814495082666,167.44830144927252,178.45184230102205,171.86989764584402,172.18470645323313,177.51044707800085,177.51044707800085,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,168.9964591482505,175.2363583092738
57,164.11794932424974,174.9575489308291,180.0,171.86989764584402,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,172.31601817026603,166.75948008481282,178.45184230102205
58,166.6075022462489,173.40939123185112,178.45184230102205,171.86989764584402,172.18470645323313,177.51044707800085,177.51044707800085,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,168.9964591482505,175.2363583092738
59,166.6075022462489,170.19390724010293,172.0565281894096,175.04972776570824,172.18470645323313,177.51044707800085,177.51044707800085,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,168.9964591482505,175.2363583092738
60,177.12656150240647,170.32173994686607,176.7845160082518,167.10625595511786,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,167.44830144927252,180.0
61,172.18470645323313,167.10625595511786,175.2363583092738,171.86989764584402,172.18470645323313,177.29512401426436,172.31601817026603,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,172.31601817026603,166.75948008481282,180.0
62,169.69515353123398,167.10625595511786,175.2363583092738,171.86989764584402,172.18470645323313,177.29512401426436,172.31601817026603,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,172.31601817026603,166.75948008481282,180.0
63,169.09705516824806,174.9575489308291,175.2363583092738,167.10625595511786,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,171.86989764584402,176.82016988013575,180.0,175.04972776570824,169.69515353123398,171.86989764584402,169.69515353123398,180.0
64,174.88958243896877,167.10625595511786,176.7845160082518,170.32173994686607,172.18470645323313,177.29512401426436,172.31601817026603,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,180.0,180.0,175.04972776570824,172.18470645323313,170.07903910682833,168.9964591482505,178.45184230102205
65,172.18470645323313,167.10625595511786,180.0,167.10625595511786,172.18470645323313,180.0,175.0208941560017,180.0,180.0,180.0,180.0,172.18470645323313,175.04972776570824,176.82016988013575,176.82016988013575,175.04972776570824,169.69515353123398,172.56859202882748,168.9964591482505,178.45184230102205
66,174.88958243896877,163.73979529168807,168.6900675259798,180.0,169.93931020467704,172.31601817026603,180.0,180.0,180.0,177.51044707800085,177.51044707800085,172.18470645323313,171.86989764584402,180.0,171.86989764584402,174.88958243896877,180.0,172.31601817026603,164.05460409907712,180.0
67,164.05460409907712,171.86989764584402,168.6900675259798,180.0,164.74488129694222,180.0,180.0,177.51044707800085,180.0,177.51044707800085,177.51044707800085,172.18470645323313,171.86989764584402,176.82016988013575,178.13737905069334,174.03891021742143,177.7630209365623,167.3741631210927,174.03891021742143,174.9575489308291
68,165.79030868800555,170.13419305691565,168.6900675259798,180.0,164.74488129694222,180.0,180.0,177.51044707800085,177.51044707800085,177.51044707800085,180.0,172.18470645323313,171.86989764584402,176.82016988013575,178.13737905069334,174.03891021742143,177.7630209365623,167.3741631210927,174.03891021742143,174.9575489308291
69,171.8019311539837,163.32391493188865,165.18653588119534,180.0,169.93931020467704,172.31601817026603,177.51044707800085,177.51044707800085,177.51044707800085,177.51044707800085,180.0,172.18470645323313,171.86989764584402,176.82016988013575,178.13737905069334,174.03891021742143,177.7630209365623,167.3741631210927,174.03891021742143,174.9575489308291
70,169.09705516824806,163.32391493188865,165.18653588119534,180.0,169.93931020467704,174.8055710922652,177.51044707800085,180.0,177.51044707800085,177.51044707800085,180.0,172.18470645323313,171.86989764584402,180.0,171.86989764584402,177.12656150240647,175.05814495082666,172.31601817026603,169.93931020467704,176.82016988013575
71,161.565051177078,168.36636600105956,165.18653588119534,176.82016988013575,161.565051177078,180.0,180.0,180.0,180.0,174.8055710922652,174.8055710922652,169.69515353123398,171.86989764584402,180.0,171.86989764584402,174.88958243896877,180.0,180.0,156.3706222693432,176.63353933657018
72,171.8019311539837,163.32391493188865,168.36636600105956,180.0,161.565051177078,180.0,180.0,180.0,180.0,174.8055710922652,174.8055710922652,169.69515353123398,171.86989764584402,180.0,171.86989764584402,174.88958243896877,180.0,180.0,156.3706222693432,176.63353933657018
73,158.19859051364818,175.2363583092738,171.86989764584402,176.82016988013575,169.93931020467704,174.8055710922652,180.0,180.0,174.8055710922652,174.8055710922652,174.8055710922652,177.06432655357884,169.69515353123398,180.0,171.86989764584402,174.88958243896877,180.0,180.0,156.3706222693432,176.63353933657018
74,168.4951846737412,166.63066141213116,168.36636600105956,176.82016988013575,169.93931020467704,174.8055710922652,180.0,180.0,174.8055710922652,174.8055710922652,174.8055710922652,177.06432655357884,169.69515353123398,180.0,171.86989764584402,174.88958243896877,180.0,180.0,156.3706222693432,176.63353933657018
75,158.19859051364818,171.73282666448938,168.36636600105956,176.82016988013575,172.8749836510982,171.86989764584402,180.0,180.0,174.8055710922652,174.8055710922652,174.8055710922652,180.0,166.75948008481282,180.0,174.9575489308291,171.8019311539837,180.0,180.0,156.3706222693432,176.63353933657018
76,166.75948008481282,168.36636600105956,168.36636600105956,174.9575489308291,176.91234871501493,169.69515353123398,180.0,180.0,174.8055710922652,174.8055710922652,174.8055710922652,177.06432655357884,169.69515353123398,180.0,171.86989764584402,177.82525588538996,177.06432655357884,174.8055710922652,169.69515353123398,163.73979529168807
77,168.4951846737412,166.63066141213116,171.73282666448938,173.453709216706,169.93931020467704,174.8055710922652,180.0,180.0,180.0,174.8055710922652,174.8055710922652,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,169.69515353123398,163.73979529168807
78,153.434948822922,180.0,176.63353933657018,172.0565281894096,164.74488129694222,180.0,180.0,180.0,180.0,180.0,174.8055710922652,174.88958243896877,171.86989764584402,180.0,171.86989764584402,174.88958243896877,177.06432655357884,166.67546873810923,174.88958243896877,163.73979529168807
79,166.75948008481282,168.36636600105956,171.73282666448938,176.63353933657018,166.75948008481282,174.8055710922652,180.0,180.0,177.51044707800085,177.51044707800085,174.8055710922652,174.88958243896877,171.86989764584402,176.82016988013575,178.13737905069334,171.8019311539837,180.0,174.8055710922652,166.6075022462489,170.19390724010293
80,149.93141717813756,176.49646835521557,171.86989764584402,180.0,166.75948008481282,174.8055710922652,180.0,180.0,180.0,177.51044707800085,177.51044707800085,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,171.5910882673993
81,163.393019421383,171.73282666448938,171.73282666448938,176.63353933657018,161.565051177078,180.0,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,171.5910882673993
82,163.393019421383,171.73282666448938,173.13000769178575,175.2363583092738,161.565051177078,180.0,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,171.5910882673993
83,153.434948822922,180.0,180.0,171.86989764584402,161.565051177078,180.0,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,171.5910882673993
84,153.434948822922,172.8749836510982,164.74488129694222,180.0,169.69515353123398,171.86989764584402,180.0,180.0,180.0,180.0,174.8055710922652,180.0,166.75948008481282,180.0,176.82016988013575,169.93931020467704,180.0,174.8055710922652,166.6075022462489,171.5910882673993
85,163.393019421383,171.73282666448938,180.0,168.36636600105956,161.565051177078,180.0,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,171.5910882673993
86,168.50343698241423,168.11134196037204,168.11134196037204,176.63353933657018,166.75948008481282,174.8055710922652,180.0,180.0,180.0,180.0,174.8055710922652,174.88958243896877,171.86989764584402,176.82016988013575,178.13737905069334,171.8019311539837,180.0,174.8055710922652,166.6075022462489,170.19390724010293
87,152.4209701001367,180.0,173.13000769178575,178.60281897270363,158.19859051364818,180.0,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,180.0,174.8055710922652,166.6075022462489,170.19390724010293
88,168.50343698241423,168.11134196037204,168.11134196037204,180.0,163.393019421383,174.8055710922652,180.0,180.0,180.0,180.0,174.8055710922652,177.06432655357884,169.69515353123398,180.0,171.86989764584402,174.88958243896877,174.88958243896877,164.50072462349917,174.88958243896877,167.10625595511786
89,158.6293777306568,176.49646835521557,180.0,168.36636600105956,166.75948008481282,174.8055710922652,177.51044707800085,177.51044707800085,180.0,177.51044707800085,177.29512401426436,174.88958243896877,171.86989764584402,176.82016988013575,178.13737905069334,171.8019311539837,177.7630209365623,167.3741631210927,174.88958243896877,163.73979529168807
90,168.50343698241423,168.11134196037204,176.37851529588266,168.36636600105956,166.75948008481282,174.8055710922652,180.0,174.8055710922652,174.8055710922652,174.8055710922652,180.0,177.06432655357884,169.69515353123398,176.82016988013575,180.0,169.93931020467704,180.0,174.8055710922652,166.6075022462489,170.19390724010293
91,158.06151953229352,180.0,171.73282666448938,180.0,168.50343698241423,169.69515353123398,180.0,174.8055710922652,174.8055710922652,174.8055710922652,180.0,177.06432655357884,169.69515353123398,176.82016988013575,178.13737905069334,171.8019311539837,174.88958243896877,166.9688425373277,172.42146452514024,168.50343698241423
92,158.6293777306568,172.8749836510982,172.8749836510982,175.2363583092738,166.32869286780416,171.86989764584402,180.0,174.8055710922652,174.8055710922652,174.8055710922652,180.0,180.0,166.75948008481282,180.0,174.9575489308291,174.7376046004049,180.0,169.14358665193774,172.42146452514024,171.86989764584402
93,148.79948539601938,176.37851529588266,180.0,168.36636600105956,171.86989764584402,169.69515353123398,180.0,177.51044707800085,177.51044707800085,174.8055710922652,174.8055710922652,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,174.88958243896877,164.50072462349917,174.88958243896877,167.10625595511786
94,164.95867052681933,171.6561084159669,176.37851529588266,171.73282666448938,163.393019421383,174.8055710922652,180.0,177.27368900609375,177.27368900609375,174.8055710922652,174.8055710922652,171.86989764584402,169.69515353123398,180.0,174.9575489308291,174.7376046004049,180.0,171.86989764584402,166.6075022462489,171.5910882673993
95,164.95867052681933,167.47119229084848,168.6900675259798,175.2363583092738,163.393019421383,174.8055710922652,180.0,180.0,180.0,174.8055710922652,169.6111421845304,174.88958243896877,176.91234871501493,174.9575489308291,180.0,166.75948008481282,180.0,174.8055710922652,163.3007557660064,178.26429541107163
96,161.565051177078,172.8749836510982,180.0,164.74488129694222,169.69515353123398,171.86989764584402,174.8055710922652,174.8055710922652,180.0,174.8055710922652,174.8055710922652,171.86989764584402,169.69515353123398,180.0,174.9575489308291,174.7376046004049,177.06432655357884,177.53188208617146,163.88119125234266,171.5910882673993
97,151.50436138175502,180.0,176.37851529588266,171.73282666448938,166.32869286780416,171.86989764584402,180.0,180.0,180.0,180.0,180.0,171.86989764584402,169.69515353123398,180.0,174.9575489308291,174.7376046004049,177.06432655357884,177.53188208617146,163.88119125234266,171.5910882673993
98,151.50436138175502,180.0,176.37851529588266,173.13000769178575,164.9315118405078,171.86989764584402,180.0,180.0,180.0,180.0,180.0,171.86989764584402,169.69515353123398,180.0,174.9575489308291,174.7376046004049,177.06432655357884,177.53188208617146,163.88119125234266,171.5910882673993
99,160.23626364690358,175.6882380980176,175.6882380980176,173.13000769178575,161.99583839408663,174.8055710922652,180.0,180.0,180.0,180.0,180.0,169.69515353123398,171.86989764584402,180.0,174.9575489308291,171.8019311539837,177.06432655357884,171.86989764584402,161.565051177078,176.63353933657018
100,156.61477894278624,180.0,180.0,168.11134196037204,166.32869286780416,171.86989764584402,180.0,180.0,180.0,180.0,180.0,171.86989764584402,169.69515353123398,180.0,174.9575489308291,171.8019311539837,174.88958243896877,169.69515353123398,169.69515353123398,167.10625595511786
101,160.23626364690358,172.19359917076423,172.19359917076423,171.73282666448938,168.50343698241423,169.69515353123398,180.0,180.0,180.0,180.0,174.8055710922652,177.06432655357884,169.69515353123398,180.0,171.86989764584402,177.82525588538996,177.06432655357884,174.8055710922652,169.69515353123398,163.73979529168807
